 , "appliances", "blogging", "bookmarking", "business tools", "calendars \\& scheduling", "cloud storage", "communication", "connected car", "contacts", "developer tools", "diy electronics", "education", "email", "environment control \\& monitoring", "finance \\& payments", "health \\& fitness", "journaling \\& personal data", "lighting", "location", "mobile devices \\& accessories", "music", "news \\& information", "notes", "notifications", "photo \\& video", "power monitoring \\& management", "routers \\& computer accessories", "security \\& monitoring systems", "shopping", "smart hubs \\& systems", "social networks", "survey tools", "tags \\& beacons", "task management \\& to-dos", "time management \\& tracking", "voice assistants"
 
"appliances", 0, 0, 0, 0, 20, 20, 33, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0
"blogging", 0, 0, 2, 0, 2, 12, 9, 0, 0, 0, 0, 0, 7, 0, 0, 0, 25, 0, 0, 25, 0, 14, 8, 13, 6, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0
"bookmarking", 0, 57, 47, 75, 82, 64, 86, 0, 0, 77, 0, 0, 81, 0, 0, 66, 50, 50, 0, 29, 50, 74, 82, 55, 0, 0, 100, 0, 0, 0, 40, 0, 0, 20, 0, 0
"business tools", 0, 100, 100, 72, 100, 98, 80, 0, 100, 42, 0, 0, 100, 0, 0, 66, 100, 0, 0, 50, 0, 100, 100, 43, 100, 0, 0, 0, 0, 0, 100, 0, 0, 54, 0, 0
"calendars \\& scheduling", 0, 51, 2, 25, 68, 63, 32, 0, 0, 30, 0, 0, 18, 0, 0, 17, 27, 0, 0, 0, 9, 2, 56, 4, 36, 0, 4, 0, 0, 0, 7, 0, 0, 8, 0, 0
"cloud storage", 0, 100, 100, 97, 100, 98, 82, 0, 100, 100, 0, 0, 100, 0, 0, 50, 100, 40, 0, 90, 100, 0, 100, 41, 100, 0, 91, 0, 0, 0, 100, 0, 0, 39, 0, 0
"communication", 0, 0, 0, 0, 0, 84, 25, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 33, 0, 0, 100, 86, 0, 0, 0, 0, 0, 0, 50, 0, 0, 100, 0, 0
"connected car", 0, 100, 0, 0, 40, 90, 75, 0, 0, 40, 0, 0, 75, 0, 0, 50, 40, 2, 0, 5, 0, 0, 73, 29, 100, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0
"contacts", 0, 0, 0, 20, 100, 97, 100, 0, 88, 66, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 100, 42, 100, 0, 0, 0, 0, 0, 100, 0, 0, 71, 0, 0
"developer tools", 0, 84, 100, 100, 93, 94, 89, 0, 0, 79, 0, 0, 95, 0, 0, 83, 100, 0, 0, 18, 0, 100, 100, 55, 0, 0, 0, 0, 0, 0, 99, 0, 0, 35, 0, 0
"diy electronics", 0, 0, 0, 0, 100, 65, 77, 0, 0, 100, 0, 0, 100, 0, 0, 50, 0, 0, 0, 9, 40, 0, 100, 33, 0, 0, 0, 0, 0, 0, 64, 0, 0, 50, 0, 0
